iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
ETH_2020s,ETH,2020s,0.23648713069826943,0.47278883431755947,2.0,2.0,0.5266666666666666,0.43999999999999995,0.2898,1.0,11.045143366297152
FIN_1990s,FIN,1990s,0.3385489166244664,0.572513333889905,0.0,0.0,0.12857142857142856,1.0,0.8672727272727272,0.0,0.0
FIN_2000s,FIN,2000s,0.3130530967128769,0.5871022763779815,0.4,0.2,0.75,1.5,0.8755000000000001,0.4,0.0
FIN_2010s,FIN,2010s,0.32325245889200954,0.5993412815715378,0.5,2.1,0.25,1.65,0.8808,1.0,0.0
FIN_2020s,FIN,2020s,0.3063276827020732,0.6150948315503643,0.2,1.4,0.125,1.0,0.86,0.8,0.0
FJI_1990s,FJI,1990s,0.11911463575777606,0.2869843821468536,0.0,0.0,0.12857142857142856,1.0,0.4369090909090909,0.0,0.0
FJI_2000s,FJI,2000s,0.109021823835319,0.30423692641974426,0.0,0.0,0.12857142857142856,1.0,0.3296,0.0,0.0
FJI_2010s,FJI,2010s,0.11019802488764066,0.30662296792609844,0.0,0.0,0.12857142857142856,1.0,0.27090000000000003,0.0,0.0
FJI_2020s,FJI,2020s,0.13399188819195018,0.311607722619463,0.0,0.0,0.12857142857142856,1.0,0.4464,0.0,0.0
FRA_1990s,FRA,1990s,0.40047173248481477,0.7852837188049281,0.18181818181818182,0.0,1.0,1.0,0.8739090909090909,0.18181818181818182,0.0
FRA_2000s,FRA,2000s,0.36316641238074365,0.7832408092740546,0.6,1.2,0.35185185185185186,1.1666666666666667,0.8763,0.9,0.0
FRA_2010s,FRA,2010s,0.37741780104602196,0.7842946969180602,0.9,3.8,0.23500000000000001,1.4233333333333333,0.8833,1.0,0.0
FRA_2020s,FRA,2020s,0.3998636642504338,0.7936379423058361,0.4,5.6,0.05,1.0535714285714284,0.8688,1.0,0.0
